abrupt@	突然的;意外的
whereabouts@	在哪裡
wholesale@	以批發方式;全部地
midst@	在...之中
underneath@	在...下面
versus@	(常略作v.或vs.)與...相對
via@	經由;取道;憑藉
lest@	惟恐;免得;擔心
whereas@	(常用在句首)反之;而
abortion@	墮胎
academy@	學院;大學;研究院
ace@	(紙牌)A;么點牌;專家;發球得分
acknowledgement@	承認;確認;致謝;回音;公證狀
acne@	粉刺
admiral@	艦隊司令; 海軍上將
adolescence@	青春期
adolescent@	青少年
adulthood@	成年(期)
advertiser@	刊登廣告者;廣告客戶
affection@	愛慕;鍾愛
agenda@	議程
agony@	極度痛苦
AI@	人工智慧 (artificial intelligence)
airway@	風道;氣道;航空公司
aisle@	通道;走道
algebra@	代數
alien@	外國人;外星人
allergy@	過敏症
alligator@	短吻鱷
ally@	同盟國;同盟者
alternate@	代替者;候補者
altitude@	高度;海拔
anchor@	錨;靠山;電視新聞節目主持人
anthem@	國歌;頌歌
antique@	古物;古董;古風
applause@	鼓掌歡迎,喝采
architect@	建築師
architecture@	建築學
arena@	體育場;競技場
armor@	盔甲;裝甲;(動、植物)保護層
ass@	驢子;笨蛋;太自負的人
assault@	暴行;攻擊;抨擊;施暴
asset@	財產,資產
astonishment@	驚訝;驚愕
astronaut@	太空人,宇航員
astronomer@	天文學家
astronomy@	天文學
attendance@	出席;出席人數;侍候
auditorium@	會堂;禮堂
auxiliary@	輔助者;助動詞
awe@	敬畏;畏怯
bachelor@	單身漢
backbone@	脊柱;支柱;骨幹
badge@	徽章;證章
ballot@	選票;候選人名單
ban@	禁止;禁令
bandit@	強盜;土匪
banner@	旗幟;橫幅;大標題
banquet@	盛宴
barbarian@	野蠻人
barbershop@	理髮店
bass@	男低音;低音樂器;鱸魚
batch@	一批;一群;一爐;一團
batter@	打擊手;糊狀物
bazaar@	(中東的)市場;商店街;義賣
behalf@	代表
belongings@	財產;攜帶物品
beloved@	心愛的人
bid@	出價
blacksmith@	鐵匠
blast@	(一陣)疾風;突然吹奏;爆破
blaze@	火焰;火災;光輝;掃射
bleach@	漂白;漂白劑
blizzard@	大風雪
blond@	白膚金髮碧眼的人
blonde@	白膚金髮碧眼的女人
blot@	墨水漬;污漬;污點
blues@	藍調;憂鬱
blur@	模糊;模糊不清的事物
bodyguard@	保鏢;護衛隊
bog@	沼澤;泥塘
bolt@	門栓;螺栓;電光;衝撞
bonus@	獎金;額外津貼;分紅
boom@	隆隆聲;景氣;激增;暴漲
booth@	(有篷的)貨攤;崗亭;(餐廳等)雅座
boredom@	無聊;厭倦
bosom@	胸;乳房;(衣服的)襟;胸懷
botany@	植物學;(總稱)一個地區的植物
boulevard@	林蔭大道;大馬路
bound@	跳躍;領域;界限
boundary@	邊界;分界線;界限
bowel@	腸;內部;深處
boxer@	拳擊手;拳師;拳師狗
boxing@	拳擊;拳術;裝箱
boyhood@	(男姓的)童年
brace@	支柱;大括號;(牙齒)矯正器
braid@	髮辮;穗帶
breadth@	寬度;幅度;寬宏
bribe@	賄賂
briefcase@	公事包
bronze@	青銅;青銅製品;古銅色
brooch@	女用胸針(或領針)
brood@	一窩孵出的雛鳥;一家的孩子們
broth@	(用肉、蔬菜等煮成的)湯
brotherhood@	兄弟關係;同志關係
browse@	瀏覽
bruise@	青腫;(水果等)碰傷;挫傷
bulge@	腫脹;凸塊;增長
bulk@	體積;容積;大塊;大多數
bully@	恃強欺弱者;惡霸
bureau@	事務處
butcher@	肉販
cactus@	仙人掌
calf@	小牛;(鯨、象等的)幼兒;小腿
calligraphy@	書法;筆跡
canal@	運河;河渠
cannon@	大砲;榴彈砲
carbon@	碳;複寫紙
cardboard@	硬紙板;卡紙板
caretaker@	照顧者;管理人
carnation@	康乃馨;淡紅色
carnival@	狂歡節;嘉年華會
carp@	鯉魚
carton@	紙盒;紙板箱
category@	種類;類別
cathedral@	大教堂
caution@	小心;謹慎;警告
celebrity@	名人;名流
celery@	芹菜
cellar@	地下室;地窖;酒窖
cello@	大提琴
cellphone@	手機,大哥大
cell-phone@	手機,大哥大
cellular phone@	手機,大哥大
Centigrade@	攝氏度
ceremony@	儀式,典禮
certificate@	證明書;執照
chair@	椅子
chairman@	主席
chairperson@	主席(沒有性別歧視的字眼)
chairwoman@	女主席;女議長
chant@	詠唱;吟誦;單調的語調
chatter@	嘮叨;饒舌;吱吱聲
checkbook@	支票簿
check-in@	辦理投宿(或登機)手續;報到
check-out@	檢查;調查;付款退租;下班離開
checkup@	檢查;體檢
chef@	(餐館等的)主廚;大師傅
chemist@	化學家
chestnut@	栗子;栗樹;栗色
chili@	紅番椒
chimpanzee@	黑猩猩
choir@	(教堂的)唱詩班;合唱團
chord@	(樂器的)弦;心弦;弦桿;和音
circuit@	環道;一圈;巡迴路線;電路
clam@	蛤;蚌;守口如瓶的人
