cut@	傷口;刻痕;削減;近路;曠課
dad@	父親
daddy@	父親
dance@	舞會
dancer@	舞蹈演員;舞蹈家
danger@	危險
dark@	黑暗,暗處;曖昧;隱晦
date@	日期
daughter@	女兒
day@	白天;日
deal@	交易
dear@	(常作稱呼)親愛的(人)
death@	死亡
December@	十二月
deer@	鹿
desk@	書桌
dig@	刺,戳,碰;挖苦
dinner@	晚餐
dish@	盤子;一盤菜
dog@	狗
doll@	洋娃娃
dollar@	美元
door@	門
dove@	鴿
down@	下降;蕭條;絨毛;有草丘陵地
downstairs@	樓下
dozen@	一打
draw@	平局;平手
dream@	夢
drink@	飲料
drinking@	喝酒
drive@	兜風;車程;幹勁;比賽
driver@	司機
duck@	鴨
duckling@	小鴨
eagle@	老鷹
ear@	耳朵
earth@	地球;土地
ease@	容易;不費力;舒適;悠閒,放鬆,緩和
east@	東方
edge@	邊緣;優勢
egg@	蛋
eight@	八
eighteen@	十八
eighty@	八十
elephant@	大象
eleven@	十一
end@	盡頭;結局
English@	英語
enough@	足夠,充分
equal@	相等的事物;相等的數量
evening@	傍晚
exam@	考試
examination@	檢查,調查
example@	例子
eye@	眼睛
face@	臉
fact@	事實
factory@	工廠
fall@	秋天
family@	家庭
farm@	農場
farmer@	農夫
fat@	(動,植物)脂肪;油脂
father@	父親
fear@	懼怕
February@	二月
feed@	(動物或嬰兒的)一餐;飼料
feel@	觸覺;手感;觸,摸;感覺,氣氛
feeling@	感覺
feelings@	感覺,觸覺
fifteen@	十五
fifty@	五十
fight@	打架;戰鬥
fill@	填滿的量;裝填物
final@	決賽;期末考;(當日報紙的)末版
find@	發現;發現物
fine@	好天氣; 罰金,罰款
finger@	手指
finish@	結束;(傢具等)末道漆
fire@	火
first@	第一;第一個;第一名;優等;開始;開始時間
fish@	魚
five@	五
floor@	地板;樓;室內地上
flower@	花
fly@	蒼蠅
fog@	霧
food@	食物
foot@	腳;一尺長
force@	力量;暴力
forest@	森林
fork@	叉子
forty@	四十
four@	四
fourteen@	十四
Friday@	星期五
friend@	朋友
frog@	青蛙
front@	前方
fruit@	水果
fun@	樂趣
game@	比賽;遊戲
garden@	花園
ghost@	鬼
gift@	禮物
girl@	女孩
glass@	玻璃杯;玻璃
glasses@	眼鏡
go@	輪到的機會;嘗試
god@	上帝
goddess@	女神
gold@	黃金
good@	利益;好處;優點
good-by@	告別,再見,道別的話
good-bye@	告別
goose@	鵝
grandchild@	孫子;孫女;外孫;外孫女
granddaughter@	孫女;外孫女
grandfather@	祖父;外祖父
grandma@	祖母;外祖母
grandmother@	祖母;外祖母
grandpa@	祖父;外祖父
grandson@	孫子;外孫
grass@	草
gray@	灰色
great@	偉人們,大人物們
green@	綠色
grey@	灰色;暗淡的光線
ground@	地面
group@	一群
guess@	猜測
guest@	客人
guide@	嚮導
gun@	槍
hair@	頭髮
haircut@	理髮
half@	一半
ham@	火腿
hand@	手
hat@	帽子
hate@	仇恨,憎恨;厭惡
head@	頭;首長
health@	健康
heart@	心臟
heat@	熱氣
hello@	表示問候的叫聲
